pos,corr_resp,random,seq,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,random,,0,0,0,0,34,1,137,1,,,,,356.30028999992646,357.2843488000799,357.2843488000799,357.2843488000799,357.2843488000799,357.30103929992765,358.2844986000564,358.2844986000564,v,1,0.37233070004731417,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,34,2,138,0,,,,,358.68462810013443,359.68530509993434,359.68530509993434,359.68530509993434,359.68530509993434,359.68530509993434,360.68532090005465,360.68532090005465,x,1,0.33785349992103875,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,34,3,139,2,,,,,361.05232569994405,362.05259869992733,362.05259869992733,362.05259869992733,362.05259869992733,362.05259869992733,363.05313399992883,363.05313399992883,c,1,0.3302061001304537,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,35,0,140,2,,,,,363.4032123000361,364.4035891999956,364.4035891999956,364.4035891999956,364.4035891999956,364.4035891999956,365.4039978000801,365.4039978000801,c,1,0.432851699879393,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,35,1,141,0,,,,,365.85394709999673,366.8546466000844,366.8546466000844,366.8546466000844,366.8546466000844,366.8546466000844,367.8382000999991,367.8382000999991,x,1,0.3121821000240743,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,35,2,142,3,,,,,368.17164360010065,369.17220399994403,369.17220399994403,369.17220399994403,369.17220399994403,369.17220399994403,370.1724223000929,370.1724223000929,z,1,0.37272079987451434,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,35,3,143,1,,,,,370.57256050012074,371.55615180009045,371.55615180009045,371.55615180009045,371.55615180009045,371.5730872999411,372.5566283999942,372.5566283999942,v,1,0.391522099962458,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,36,0,144,1,,,,,372.9736367999576,373.97413709992543,373.97413709992543,373.97413709992543,373.97413709992543,373.97413709992543,374.97433810005896,374.97433810005896,v,1,0.44436069997027516,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,36,1,145,3,,,,,375.44233569991775,376.4413161999546,376.4413161999546,376.4413161999546,376.4413161999546,376.4413161999546,377.4420022999402,377.4420022999402,z,1,0.30975289992056787,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,36,2,146,2,,,,,377.77519130008295,378.7588945000898,378.7588945000898,378.7588945000898,378.7588945000898,378.7758734000381,379.75925339991227,379.75925339991227,c,1,0.3178912000730634,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,36,3,147,0,,,,,380.1093202000484,381.10988430003636,381.10988430003636,381.10988430003636,381.10988430003636,381.10988430003636,382.093566800002,382.093566800002,x,1,0.42991549987345934,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,37,0,148,3,,,,,382.54386770003475,383.5440992000513,383.5440992000513,383.5440992000513,383.5440992000513,383.5440992000513,384.5280387001112,384.5280387001112,z,1,0.48810580000281334,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,37,1,149,1,,,,,385.04471400007606,386.045090300031,386.045090300031,386.045090300031,386.045090300031,386.045090300031,387.04562489991076,387.04562489991076,v,1,0.30989430006593466,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,37,2,150,0,,,,,387.3788213999942,388.37934860005043,388.37934860005043,388.37934860005043,388.37934860005043,388.37934860005043,389.36278750002384,389.36278750002384,x,1,0.3995642000809312,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,37,3,151,2,,,,,389.7797688001301,390.7802556999959,390.7802556999959,390.7802556999959,390.7802556999959,390.7802556999959,391.7636867999099,391.7636867999099,c,1,0.41876620007678866,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,38,0,152,2,,,,,392.2140569000039,393.2144291000441,393.2144291000441,393.2144291000441,393.2144291000441,393.2144291000441,394.21478409995325,394.21478409995325,c,1,0.5710805000271648,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,38,1,153,1,,,,,394.81523429998197,395.81554410001263,395.81554410001263,395.81554410001263,395.81554410001263,395.81554410001263,396.8159815999679,396.8159815999679,v,1,0.47912669996730983,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,38,2,154,0,,,,,397.31611269991845,398.31636480009183,398.31636480009183,398.31636480009183,398.31636480009183,398.31636480009183,399.31661410001107,399.31661410001107,x,1,0.4017827999778092,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,38,3,155,3,,,,,399.75053440011106,400.75088730012067,400.75088730012067,400.75088730012067,400.75088730012067,400.75088730012067,401.7514629000798,401.7514629000798,z,1,0.32707139989361167,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,39,0,156,3,,,,,402.1011141000781,403.0851358000655,403.0851358000655,403.0851358000655,403.0851358000655,403.10182139999233,404.0852399999276,404.0852399999276,z,1,0.44961009989492595,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
150,v,random,,0,0,0,0,39,1,157,1,,,,,404.5520426000003,405.5525255999528,405.5525255999528,405.5525255999528,405.5525255999528,405.5525255999528,406.55292259994894,406.55292259994894,v,1,0.3902786001563072,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,39,2,158,2,,,,,406.9695848999545,407.97020029998384,407.97020029998384,407.97020029998384,407.97020029998384,407.97020029998384,408.9538215000648,408.9538215000648,c,1,0.4633160000666976,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-50,x,random,,0,0,0,0,39,3,159,0,,,,,409.4374369001016,410.43775729998015,410.43775729998015,410.43775729998015,410.43775729998015,410.43775729998015,411.4215208000969,411.4215208000969,x,1,0.37968259979970753,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
-150,z,random,,0,0,0,0,40,0,160,3,,,,,411.8216409001034,412.82249859999865,412.82249859999865,412.82249859999865,412.82249859999865,412.82249859999865,413.82235840009525,413.82235840009525,z,1,0.3369603001046926,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
50,c,random,,0,0,0,0,40,1,161,2,,,,,414.1891993000172,415.18957039993256,415.18957039993256,415.18957039993256,415.18957039993256,415.18957039993256,416.18983460008167,416.18983460008167,c,1,0.5804995000362396,None,pulkit,001,2023-10-11_17h55.19.653,psychopy project 4,2023.1.3,59.98667093005914,
