key_resp.rt,key_resp.rt,,,,
0.5612485,0.2698302,,,,
0.4882826,0.3352224,,,,
0.3367757,0.3328877,,,,
0.4767589,0.4021011,,,,
0.4886342,0.0095731,,,,
0.5740179,0.2611284,,,,
0.6155387,0.4190268,,,,
0.4336141,0.3177022,,,,
0.4514877,0.3928786,,,,
0.4363028,0.2545176,,,,
0.505737,0.2560258,,,,
0.4430402,0.230211,,,,
0.4378257,0.3431783,,,,
0.9724884,0.2564087,,,,
0.3930104,0.2474176,,,,
0.3548743,0.2717093,,,,
0.3981258,0.403233,,,,
0.3180368,0.0204606,,,,
0.4746403,0.2790241,,,,
0.4123778,0.1598872,,,,
0.4420325,0.3276859,,,,
0.3611858,0.236704,,,,
0.3562453,0.2392509,,,,
0.3829905,0.3669188,,,,
0.4376933,0.3685536,,,,
0.3600454,0.2200805,,,,
0.3515846,0.2362617,,,,
0.539266,0.4825664,,,,
0.3670244,0.2852342,,,,
0.5234106,0.4418876,,,,
0.406653,0.3499611,,,,
0.3544422,0.2628993,,,,
0.5026315,0.3026423,,,,
0.8189459,0.286764,,,,
0.4142377,0.2705542,,,,
0.3723307,0.2309601,,,,
0.3378535,0.239452,,,,
0.3302061,0.3206,,,,
0.4328517,0.0768569,,,,
0.3121821,0.4251722,,,,
0.3727208,0.2573192,,,,
0.3915221,0.2538559,,,,
0.4443607,0.2522013,,,,
0.3097529,0.2822922,,,,
0.3178912,0.2516398,,,,
0.4299155,0.2497779,,,,
0.4881058,0.1291876,,,,
0.3098943,0.2427809,,,,
0.3995642,0.2494068,,,,
0.4187662,0.1229903,,,,
0.5710805,0.2330538,,,,
0.4791267,0.29472,,,,
0.4017828,0.2580437,,,,
0.3270714,0.2700124,,,,
0.4496101,0.238796,,,,
0.3902786,0.257028,,,,
0.463316,0.3332476,,,,
0.3796826,0.4739347,,,,
0.3369603,0.032765,,,,
0.5804995,0.2532185,,,,
0.331676,0.2721451,,,,
0.3545512,0.5929747,,,,
0.4686725,0.1032453,,,,
0.4649423,0.4589492,,,,
0.4062994,0.2329047,,,,
0.3590406,0.2019744,,,,
0.489041,0.023137,,,,
0.5106301,0.1300849,,,,
0.4558981,0.2520669,,,,
0.4552908,0.2685015,,,,
0.7212562,0.2299482,,,,
0.5672612,0.2714385,,,,
0.4554114,0.3529811,,,,
0.4946999,0.2699225,,,,
0.6339866,0.3968846,,,,
0.5716751,0.2648103,,,,
0.532369,0.2551976,,,,
0.5898966,0.0697813,,,,
0.6102118,0.0597703,,,,
0.3954457,0.2732157,,,,
0.3449986,0.3962321,,,,
0.4498742,0.2876397,,,,
0.4853877,0.2279242,,,,
0.3476381,0.2716435,,,,
0.3759826,0.2101803,,,,
0.3452258,0.3218555,,,,
0.3787359,0.2769509,,,,
0.3410327,0.2814116,,,,
0.3089394,0.2851258,,,,
0.3270917,0.1002195,,,,
0.4619001,0.213583,,,,
0.423685,0.2992765,,,,
0.4353583,0.1864478,,,,
0.480521,0.2182152,,,,
0.479345,0.1676182,,,,
0.4887915,0.2674986,,,,
0.4924619,0.0721224,,,,
,0.4663788,,,,
